# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
INABAKUMORI|Floating Moonlight City|Love Girls cause I'm a Girl||https://open.spotify.com/track/1TVubI1l5n3IYo7MTOIFyM
Phenotas|スピーカーボーイ|Love Girls cause I'm a Girl||https://open.spotify.com/track/7dd5t8BwNlVSnBQuD0P9BP
Soutaiseiriron|Kininaru Ano Ko|Love Girls cause I'm a Girl||https://open.spotify.com/track/5BIl5T1vtqE4tRk6eMpBdk
Crystal Tea|There There|Love Girls cause I'm a Girl||https://open.spotify.com/track/24lQhxAys0CRnrExqdVsVq
Kaneko Ayano|ロマンス宣言|Love Girls cause I'm a Girl||https://open.spotify.com/track/7ph7HRUsxYcKLRFTaYCQYQ
jon-YAKITORY|AntiSystem's (feat. Ado)|Love Girls cause I'm a Girl||https://open.spotify.com/track/3ixFouonAtRdwg4FiVN9z9
meiyo|なにやってもうまくいかない feat.asmi|Love Girls cause I'm a Girl||https://open.spotify.com/track/6QLMizE79f7VfKKnuMYxez
POLKADOT STINGRAY|リドー|Love Girls cause I'm a Girl||https://open.spotify.com/track/36K1AFSLlk3agjXQLMNZk7
yama|色彩|Love Girls cause I'm a Girl||https://open.spotify.com/track/1uveEvgKX4irLcp1BUTIFD
Soutaiseiriron|さわやか会社員|Love Girls cause I'm a Girl||https://open.spotify.com/track/7wAhg1bclLYzOjAn2eCxPz
MAISONdes|あいうえ|Love Girls cause I'm a Girl||https://open.spotify.com/track/5twY3ucZMPD3iUkmlbo841
Cö shu Nie|undress me|Love Girls cause I'm a Girl||https://open.spotify.com/track/1bwnXBfIQFIBgBtsBADycD
みゆな|埋葬|Love Girls cause I'm a Girl||https://open.spotify.com/track/0OOb0m0zdCZRl0suTEmMgV
DECO*27|ゾンビ|Love Girls cause I'm a Girl||https://open.spotify.com/track/06yQXWLaO8YVpXHXh55dLj
Rocket Punch|JUICY|Love Girls cause I'm a Girl||https://open.spotify.com/track/3u5G198W9Bnp0pmehuw53F
ano|Peek a boo|Love Girls cause I'm a Girl||https://open.spotify.com/track/4zCqXPmv2ZBRREdsenlWvu
Phenotas|すてきな人に出会ったとき|Love Girls cause I'm a Girl||https://open.spotify.com/track/6hSJHJkFTu9pWUQel47rOb
Lie and a Chameleon|PLANET BLUE|Love Girls cause I'm a Girl||https://open.spotify.com/track/7qhh7M7zuBeJ96ZxbfaIVY
Kinoshita Momoka|Bad Friend|Love Girls cause I'm a Girl||https://open.spotify.com/track/0pfoXarioa8yBr8IN7OL5d
SHISHAMO|恋する - 10YEARS THANK YOU|Love Girls cause I'm a Girl||https://open.spotify.com/track/0vbLzWi64zpd3bEHaETY9D
WEDNESDAY CAMPANELLA|Maneki Neko|Love Girls cause I'm a Girl||https://open.spotify.com/track/0bzF3w5jIvYOHmMkMd3GaL
peanut butters|めちゃポップ|Love Girls cause I'm a Girl||https://open.spotify.com/track/7mcxy7kzOVnNFf6Gm7jOSy
